StrategyName|ExDestination|Symbol|SecurityID|Side|Currency|OrderQty|Price|StartTime|EndTime|MaxFloor|ExcludeAuction|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|10.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|0.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|-1.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|09:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|18:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0| |13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|08:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|19:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00| |1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|0.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|100.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|-1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00| |1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|0.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|2.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|3.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|4.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0| |
4|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
|XPAR|FTE|FR0000133308|1|EUR|100000.0|100.0|11:00|13:00|1.0|1.0|
