StrategyName|ExDestination|Symbol|SecurityID|Side|Currency|OrderQty|Price|StartTime|EndTime|MinPctVolume|MaxPctVolume|ExecutionStyle|WouldLevel|WouldDark|AuctionPct|AggregatedStyle|ExcludeAuction|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|10|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|0|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|-1|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|09:00|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|18:00|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100| |16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|08:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|19:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20| |10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|0|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|110|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00| |20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|0|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|10|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|110|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10| |3|7|yes|30|yes|1|
3|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:20|16:00|10|20|3|7|yes|30|yes|1|
